obs_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
"=""772.5887""","=""15000""","=""5.2e+06""",B+,"=""11.54835442""","=""13.15314387""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""",5,3,,
"=""772.6333""","=""10000""","=""1.17e+07""",B+,"=""11.72316039""","=""13.32785705""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""",1,3,,
"=""795.0362""","=""20000""","=""1.86e+07""",B,"=""11.72316039""","=""13.28263902""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""",1,3,,
"=""800.8359""","=""20000""","=""4.9e+06""",C+,"=""11.62359272""","=""13.17177770""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""",3,5,,
"=""801.6990""","=""25000""","=""9.3e+06""",B,"=""11.54835442""","=""13.09487256""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""",5,5,,
"=""810.5921""","=""20000""","=""2.50e+07""",B+,"=""11.62359272""","=""13.15314387""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""",3,3,,
"=""811.7542""","=""35000""","=""3.3e+07""",B,"=""11.54835442""","=""13.07571571""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""",5,7,,
"=""826.6794""","=""10000""","=""1.53e+07""",B+,"=""11.82807116""","=""13.32785705""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""",3,3,,
"=""841.0521""","=""15000""","=""2.23e+07""",B+,"=""11.82807116""","=""13.30222747""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""",3,5,,
"=""842.6963""","=""20000""","=""2.15e+07""",B+,"=""11.62359272""","=""13.09487256""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""",3,5,,
"=""852.3783""","=""15000""","=""1.39e+07""",B,"=""11.82807116""","=""13.28263902""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""",3,3,,
"=""867.0325""","=""4500""","=""2.43e+06""",B,"=""11.72316039""","=""13.15314387""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""",1,3,,
